文件路径：/home/xuchen/FanMing/file/topicScore/Anzhi/51.txt
文件总数：1122
敏感函数个数:267
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,260/1122,3334/6154,0.3431258910474369
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,145/1122,1752/6154,0.2521354049382119
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,335/1122,2780/6154,0.23655459068804516
java/net/URLConnection:connect()V,185/1122,1802/6154,0.2285383169791049
android/media/MediaPlayer:pause()V,169/1122,1566/6154,0.20854822929128478
java/net/URLConnection:getInputStream()java/io/InputStream;,327/1122,2120/6154,0.18399940006531407
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,103/1122,976/6154,0.16382328391265022
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,377/1122,2129/6154,0.1634635603720395
android/os/PowerManager$WakeLock:acquire()V,435/1122,2385/6154,0.15909289679053662
android/widget/VideoView:stopPlayback()V,89/1122,866/6154,0.1541956127589191
android/media/MediaPlayer:reset()V,266/1122,1486/6154,0.15055145450041812
android/widget/VideoView:pause()V,89/1122,814/6154,0.1449367537941803
android/widget/VideoView:start()V,129/1122,948/6154,0.14419482131514688
android/os/PowerManager$WakeLock:release()V,528/1122,2388/6154,0.1267095868549361
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,440/1122,1863/6154,0.12277341570744922
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,502/1122,2115/6154,0.11974627949184516
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,238/1122,1097/6154,0.11971720290888681
android/media/MediaPlayer:stop()V,405/1122,1616/6154,0.11592628965261693
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,791/1122,4590/6154,0.11282395673832947
android/media/MediaPlayer:release()V,439/1122,1646/6154,0.1087366163461635
android/widget/VideoView:setVideoPath(java/lang/String;)V,79/1122,501/6154,0.09336989565063825
android/media/MediaPlayer:start()V,523/1122,1726/6154,0.09273998532828308
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,347/1122,1111/6154,0.09178542801651399
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,318/1122,979/6154,0.08689176604027288
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,753/1122,2915/6154,0.0817666078504752
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,492/1122,1334/6154,0.07741837517316305
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,643/1122,1972/6154,0.0772608032845258
android/net/wifi/WifiManager:getWifiState()I,167/1122,569/6154,0.07625039881143081
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,65/1122,368/6154,0.0735790060232702
java/net/URL:getContent()java/lang/Object;,85/1122,389/6154,0.07051142733314716
java/net/HttpURLConnection:connect()V,782/1122,2765/6154,0.07019482893954841
android/net/wifi/WifiManager:isWifiEnabled()Z,366/1122,881/6154,0.06947885998384058
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,399/1122,937/6154,0.06820167290540671
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,130/1122,439/6154,0.06653636096767339
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,303/1122,715/6154,0.06589052330478437
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,50/1122,278/6154,0.060642428545429526
android/net/wifi/WifiManager:getScanResults()java/util/ist;,386/1122,750/6154,0.056339197095535164
android/telephony/TelephonyManager:getNeighboringCellInfo()java/util/ist;,275/1122,540/6154,0.05344576509939218
android/net/wifi/WifiManager:startScan()Z,284/1122,511/6154,0.04941836633439131
android/provider/Settings$System:putInt(android/content/ContentResolver;java/lang/String;I)Z,116/1122,306/6154,0.04881913235671728
android/net/ConnectivityManager:getNetworkInfo(I)android/net/NetworkInfo;,676/1122,1368/6154,0.048772331736346715
android/location/LocationManager:addGpsStatusListener(android/location/GpsStatus$istener;)Z,218/1122,374/6154,0.04312174675624457
android/widget/VideoView:setVideoURI(android/net/Uri;)V,68/1122,216/6154,0.042510083440933315
java/net/URL:openStream()java/io/InputStream;,397/1122,556/6154,0.04066640240081716
java/net/URL:openConnection()java/net/URConnection;,927/1122,2946/6154,0.039467438827749834
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;)org/apache/http/HttpResponse;,68/1122,180/6154,0.0354250695341111
android/app/ActivityManager:getRunningTasks(I)java/util/ist;,354/1122,434/6154,0.035245010509819805
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,497/1122,609/6154,0.03490948653293774
java/net/ServerSocket:bind(java/net/SocketAddress;)V,39/1122,137/6154,0.03223379957525653
android/location/LocationManager:getProviders(Z)java/util/ist;,69/1122,155/6154,0.030347529512579182
android/media/MediaRecorder:setAudioSource(I)V,231/1122,267/6154,0.029698212679851777
android/os/Vibrator:cancel()V,277/1122,284/6154,0.02796380392014736
android/telephony/TelephonyManager:getDeviceSoftwareVersion()java/lang/String;,28/1122,108/6154,0.02786159323599092
android/app/ActivityManager:getRecentTasks(II)java/util/ist;,20/1122,95/6154,0.026671837570310563
android/net/wifi/WifiManager:setWifiEnabled(Z)Z,127/1122,160/6154,0.02451174227552224
android/os/Vibrator:vibrate([JI)V,325/1122,281/6154,0.024509887418828275
android/os/Vibrator:vibrate(J)V,339/1122,279/6154,0.023507538060762202
android/net/ConnectivityManager:getActiveNetworkInfo()android/net/NetworkInfo;,924/1122,1599/6154,0.021787121801364138
android/app/ActivityManager:restartPackage(java/lang/String;)V,71/1122,107/6154,0.02073686359641039
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/protocol/HttpContext;)org/apache/http/HttpResponse;,87/1122,107/6154,0.01922157779824297
android/accounts/AccountManager:getAccounts()[android/accounts/Account;,56/1122,81/6154,0.0170334023563633
android/accounts/AccountManager:getAccountsByType(java/lang/String;)[android/accounts/Account;,91/1122,86/6154,0.015179335804909735
android/net/ConnectivityManager:startUsingNetworkFeature(Ijava/lang/String;)I,64/1122,67/6154,0.013468366350110209
