文件路径：/home/xuchen/FanMing/file/topicScore/Anzhi/39.txt
文件总数：3150
敏感函数个数:321
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,207/3150,3334/6154,0.6394124516686189
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,388/3150,2780/6154,0.41034180173052026
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,259/3150,1752/6154,0.3084183920368065
java/net/URLConnection:connect()V,390/3150,1802/6154,0.2653319956291043
android/media/MediaPlayer:pause()V,321/3150,1566/6154,0.2520396542344562
android/media/MediaPlayer:reset()V,311/3150,1486/6154,0.242472498573276
android/provider/Browser:getAllVisitedUrls(android/content/ContentResolver;)android/database/Cursor;,1/3150,457/6154,0.23743211164501266
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,654/3150,2129/6154,0.2359644851048998
android/os/PowerManager$WakeLock:acquire()V,790/3150,2385/6154,0.23258364602636314
java/net/URLConnection:getInputStream()java/io/InputStream;,789/3150,2120/6154,0.20693027957397095
android/media/MediaPlayer:stop()V,541/3150,1616/6154,0.2007031212021386
android/media/MediaPlayer:release()V,625/3150,1646/6154,0.18769220329433137
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,917/3150,2115/6154,0.18402901373486794
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,1808/3150,4590/6154,0.17965590185370836
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,885/3150,1863/6154,0.16676690572545502
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,288/3150,976/6154,0.16452954273127385
android/media/MediaPlayer:start()V,857/3150,1726/6154,0.15841484514364396
android/os/PowerManager$WakeLock:release()V,1254/3150,2388/6154,0.15508683542385993
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,496/3150,1097/6154,0.14295478047883106
android/widget/VideoView:start()V,439/3150,948/6154,0.13168756380949556
android/widget/VideoView:stopPlayback()V,394/3150,866/6154,0.12689045413865446
android/widget/VideoView:pause()V,346/3150,814/6154,0.12671377938007208
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,649/3150,1111/6154,0.12373680305980396
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,1816/3150,2915/6154,0.11318746363239607
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,615/3150,979/6154,0.11274723999854508
