文件路径：/home/xuchen/FanMing/file/topicScore/Anzhi/53.txt
文件总数：2400
敏感函数个数:199
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,100/2400,3334/6154,0.7454040980947618
android/os/PowerManager$WakeLock:acquire()V,385/2400,2385/6154,0.30757118781931175
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,515/2400,2780/6154,0.3015633866484591
android/os/PowerManager$WakeLock:release()V,565/2400,2388/6154,0.24345446986183342
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,446/2400,1752/6154,0.20779839371978895
android/media/MediaPlayer:pause()V,382/2400,1566/6154,0.20281467736196165
android/media/MediaPlayer:reset()V,363/2400,1486/6154,0.19778960823544836
android/widget/VideoView:stopPlayback()V,123/2400,866/6154,0.18107893337207592
android/widget/VideoView:pause()V,105/2400,814/6154,0.17921562827879825
android/media/MediaPlayer:stop()V,521/2400,1616/6154,0.17397884851386083
android/widget/VideoView:start()V,199/2400,948/6154,0.16624371486076508
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,803/2400,2115/6154,0.1632320820794723
android/media/MediaPlayer:release()V,596/2400,1646/6154,0.16161422730230127
android/media/MediaPlayer:start()V,711/2400,1726/6154,0.14801172151072764
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,392/2400,976/6154,0.12462772875269922
android/widget/VideoView:setVideoPath(java/lang/String;)V,91/2400,501/6154,0.11531168842986536
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,11/2400,278/6154,0.10394643139333551
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,604/2400,979/6154,0.0952044676390795
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,727/2400,1097/6154,0.09235190267325805
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,70/2400,368/6154,0.0914290972735215
java/net/URLConnection:connect()V,1182/2400,1802/6154,0.08996134997477793
android/net/wifi/WifiManager:getWifiState()I,287/2400,569/6154,0.08513907556043249
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,1394/2400,2129/6154,0.08151953942202406
