文件路径：/home/xuchen/FanMing/file/topicScore/Anzhi/44.txt
文件总数：7962
敏感函数个数:173
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,11/7962,3334/6154,1.5287646492177955
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,104/7962,2780/6154,0.8491932710781982
android/os/PowerManager$WakeLock:acquire()V,109/7962,2385/6154,0.7207046358619276
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,92/7962,1752/6154,0.5501801627663537
android/media/MediaPlayer:reset()V,52/7962,1486/6154,0.5256166732563979
java/net/URLConnection:connect()V,421/7962,1802/6154,0.37355036066949987
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,493/7962,1863/6154,0.36548440086389616
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,89/7962,1111/6154,0.3514579471061953
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,135/7962,1097/6154,0.31506810880256975
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,106/7962,979/6154,0.2977468295833684
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,110/7962,976/6154,0.294306534578217
android/net/wifi/WifiManager:isWifiEnabled()Z,108/7962,881/6154,0.2667903461075509
android/widget/VideoView:start()V,157/7962,948/6154,0.26224278547390095
android/widget/VideoView:stopPlayback()V,112/7962,866/6154,0.26004538023662577
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,160/7962,937/6154,0.2579561148020161
android/widget/VideoView:pause()V,105/7962,814/6154,0.24810417203419133
android/provider/Browser:getAllVisitedUrls(android/content/ContentResolver;)android/database/Cursor;,3/7962,457/6154,0.24498305445848118
android/net/wifi/WifiManager:getScanResults()java/util/ist;,107/7962,750/6154,0.22760786696796348
android/net/wifi/WifiManager:getWifiState()I,47/7962,569/6154,0.20524136374901655
java/net/URLConnection:getInputStream()java/io/InputStream;,2020/7962,2120/6154,0.20512941544255497
android/net/wifi/WifiManager:startScan()Z,37/7962,511/6154,0.192745029681277
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,2210/7962,2129/6154,0.19250028825074403
android/telephony/TelephonyManager:getNeighboringCellInfo()java/util/ist;,57/7962,540/6154,0.18756920003737027
android/os/PowerManager$WakeLock:release()V,2787/7962,2388/6154,0.1768413741188158
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,34/7962,439/6154,0.1681350117949522
android/media/MediaPlayer:start()V,2053/7962,1726/6154,0.1650334600034532
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,176/7962,609/6154,0.16358576280366266
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,1/7962,278/6154,0.16262558098283705
android/media/MediaPlayer:release()V,2002/7962,1646/6154,0.16030478625757424
android/media/MediaPlayer:stop()V,1957/7962,1616/6154,0.15997441160578996
android/media/MediaPlayer:pause()V,1951/7962,1566/6154,0.15536388294290837
android/location/LocationManager:addGpsStatusListener(android/location/GpsStatus$istener;)Z,24/7962,374/6154,0.15212101552672075
android/widget/VideoView:setVideoPath(java/lang/String;)V,112/7962,501/6154,0.1504419578505191
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,53/7962,368/6154,0.129680737104394
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,659/7962,715/6154,0.12565111146570368
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,3366/7962,1972/6154,0.11977450440817376
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,3619/7962,2115/6154,0.11764596518395222
java/net/URL:getContent()java/lang/Object;,112/7962,389/6154,0.11681022276217948
android/media/MediaRecorder:setAudioSource(I)V,21/7962,267/6154,0.1110084602661209
android/os/Vibrator:cancel()V,45/7962,284/6154,0.10329331703036845
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,2796/7962,1334/6154,0.09848486008666238
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,5049/7962,2915/6154,0.09366026451125331
java/net/HttpURLConnection:connect()V,4951/7962,2765/6154,0.09266458408475603
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;)org/apache/http/HttpResponse;,7/7962,180/6154,0.08768732426488533
