文件路径：/home/xuchen/FanMing/file/topicScore/Anzhi/54.txt
文件总数：4970
敏感函数个数:252
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,284/4970,3334/6154,0.6726030933975555
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,832/4970,2780/6154,0.35041885875329765
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,616/4970,1752/6154,0.25795202887139396
android/os/PowerManager$WakeLock:acquire()V,1421/4970,2385/6154,0.21061820762591962
java/net/URLConnection:connect()V,990/4970,1802/6154,0.20505516527705528
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,379/4970,976/6154,0.17708401772923715
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,2959/4970,4590/6154,0.16786591981239293
java/net/URLConnection:getInputStream()java/io/InputStream;,1729/4970,2120/6154,0.15788394629210561
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,1738/4970,2129/6154,0.1577746086333262
android/os/PowerManager$WakeLock:release()V,1992/4970,2388/6154,0.15399343955125652
android/widget/VideoView:stopPlayback()V,474/4970,866/6154,0.14348845737860436
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,1922/4970,2115/6154,0.14172531296825033
android/widget/VideoView:start()V,639/4970,948/6154,0.13712824848593985
android/widget/VideoView:pause()V,465/4970,814/6154,0.13597139490465915
android/media/MediaPlayer:pause()V,1481/4970,1566/6154,0.13372535226697688
android/media/MediaPlayer:reset()V,1462/4970,1486/6154,0.12824707914129344
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,9/4970,278/6154,0.12180485473965977
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,1124/4970,1097/6154,0.11501277889432696
android/media/MediaPlayer:stop()V,1949/4970,1616/6154,0.10669743130179322
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,2262/4970,1863/6154,0.1034342912240069
android/media/MediaPlayer:release()V,2202/4970,1646/6154,0.0945077597570525
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,166/4970,368/6154,0.08812146403502691
android/widget/VideoView:setVideoPath(java/lang/String;)V,448/4970,501/6154,0.08500148422371376
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,2781/4970,1972/6154,0.08075114507449536
android/net/wifi/WifiManager:getWifiState()I,669/4970,569/6154,0.08046639948854334
android/media/MediaPlayer:start()V,2593/4970,1726/6154,0.07920035029518646
