文件路径：/home/xuchen/FanMing/file/topicScore/Anzhi/52.txt
文件总数：3265
敏感函数个数:264
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,370/3265,3334/6154,0.511698720534745
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,840/3265,2780/6154,0.26611348516097527
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,449/3265,1752/6154,0.24502681460127276
java/net/URLConnection:connect()V,727/3265,1802/6154,0.1908444515679389
android/os/PowerManager$WakeLock:acquire()V,1128/3265,2385/6154,0.17873518787640685
android/widget/VideoView:stopPlayback()V,179/3265,866/6154,0.17711356017545388
android/widget/VideoView:pause()V,153/3265,814/6154,0.17544020902283858
android/widget/VideoView:start()V,283/3265,948/6154,0.16337593006089116
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,367/3265,976/6154,0.15035465033004114
android/media/MediaPlayer:pause()V,912/3265,1566/6154,0.1408261018927948
android/os/PowerManager$WakeLock:release()V,1525/3265,2388/6154,0.12818082888486315
android/media/MediaPlayer:reset()V,977/3265,1486/6154,0.12641970679293274
java/net/URLConnection:getInputStream()java/io/InputStream;,1444/3265,2120/6154,0.12195523523875129
android/widget/VideoView:setVideoPath(java/lang/String;)V,138/3265,501/6154,0.1116030323470679
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,21/3265,278/6154,0.09809327597193863
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,1700/3265,2129/6154,0.09796682133325593
android/media/MediaPlayer:stop()V,1435/3265,1616/6154,0.09367462675641451
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,1111/3265,1097/6154,0.08338526210699779
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,1871/3265,2115/6154,0.0830250368308496
android/media/MediaPlayer:release()V,1684/3265,1646/6154,0.07683917444662793
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,181/3265,368/6154,0.07497607109625846
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,2652/3265,4590/6154,0.06723591883913305
android/media/MediaPlayer:start()V,1899/3265,1726/6154,0.06594632159898656
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,2118/3265,1863/6154,0.05683821944121798
android/provider/Settings$System:putInt(android/content/ContentResolver;java/lang/String;I)Z,282/3265,306/6154,0.05281144061205095
java/net/URL:getContent()java/lang/Object;,499/3265,389/6154,0.05151141168605846
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,1268/3265,715/6154,0.047684663294477965
android/net/wifi/WifiManager:getWifiState()I,1051/3265,569/6154,0.04547815675275088
android/widget/VideoView:setVideoURI(android/net/Uri;)V,171/3265,216/6154,0.04486912960025438
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,844/3265,439/6154,0.04187595437997315
