文件路径：/home/xuchen/FanMing/file/topicScore/Anzhi/47.txt
文件总数：1730
敏感函数个数:234
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,115/1730,3334/6154,0.6358048052890571
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,333/1730,2780/6154,0.3226767937864644
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,168/1730,1752/6154,0.28758519112747705
android/media/MediaPlayer:pause()V,188/1730,1566/6154,0.2446930471505352
java/net/URLConnection:connect()V,252/1730,1802/6154,0.24448097151109283
android/media/MediaPlayer:reset()V,217/1730,1486/6154,0.2172229703855943
android/media/MediaPlayer:release()V,386/1730,1646/6154,0.1739440424648796
android/widget/VideoView:start()V,137/1730,948/6154,0.16916839971688752
android/widget/VideoView:stopPlayback()V,115/1730,866/6154,0.16514905860237655
android/widget/VideoView:pause()V,99/1730,814/6154,0.1637584543300032
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,249/1730,976/6154,0.1332374956434507
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,635/1730,1863/6154,0.131563094519979
android/os/PowerManager$WakeLock:acquire()V,897/1730,2385/6154,0.11036332353114335
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,1253/1730,4590/6154,0.10423235632929942
android/widget/VideoView:setVideoPath(java/lang/String;)V,92/1730,501/6154,0.10335572642866508
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,38/1730,368/6154,0.09848703129113504
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,12/1730,278/6154,0.09595394291980898
java/net/URLConnection:getInputStream()java/io/InputStream;,923/1730,2120/6154,0.09383054267897631
android/media/MediaPlayer:stop()V,774/1730,1616/6154,0.09157799015371074
android/os/PowerManager$WakeLock:release()V,1027/1730,2388/6154,0.08771766923387357
java/net/URL:getContent()java/lang/Object;,95/1730,389/6154,0.07937868450840255
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,369/1730,715/6154,0.07782559815228912
android/provider/Settings$System:putInt(android/content/ContentResolver;java/lang/String;I)Z,51/1730,306/6154,0.07568168417373462
android/media/MediaPlayer:start()V,961/1730,1726/6154,0.07148316536610916
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,1122/1730,2129/6154,0.06492389543070554
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,302/1730,439/6154,0.053972851049891
android/widget/VideoView:setVideoURI(android/net/Uri;)V,52/1730,216/6154,0.0531320068966606
android/media/MediaRecorder:setAudioSource(I)V,119/1730,267/6154,0.05027899201180899
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,930/1730,1097/6154,0.04796860173801685
