文件路径：/home/xuchen/FanMing/file/topicScore/Anzhi/48.txt
文件总数：4837
敏感函数个数:231
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,632/4837,3334/6154,0.47846875303140196
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,1043/4837,2780/6154,0.3008017771608302
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,507/4837,1752/6154,0.2786324473810769
android/widget/VideoView:stopPlayback()V,86/4837,866/6154,0.2455669838983878
android/widget/VideoView:start()V,129/4837,948/6154,0.24194992409122104
android/widget/VideoView:pause()V,87/4837,814/6154,0.23016510237308505
android/os/PowerManager$WakeLock:acquire()V,1314/4837,2385/6154,0.2192193773045155
android/media/MediaPlayer:pause()V,858/4837,1566/6154,0.19099981447685985
android/media/MediaPlayer:reset()V,795/4837,1486/6154,0.18923029691275078
android/media/MediaPlayer:stop()V,1131/4837,1616/6154,0.1656254682201013
java/net/URLConnection:connect()V,1387/4837,1802/6154,0.15876182832756802
android/widget/VideoView:setVideoPath(java/lang/String;)V,54/4837,501/6154,0.15827931627315564
android/os/PowerManager$WakeLock:release()V,1899/4837,2388/6154,0.15747547897437042
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,522/4837,976/6154,0.1532155692162289
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,3160/4837,4590/6154,0.1377981483928077
android/media/MediaPlayer:release()V,1530/4837,1646/6154,0.1336274091569808
java/net/URLConnection:getInputStream()java/io/InputStream;,2112/4837,2120/6154,0.12390548773360753
android/media/MediaPlayer:start()V,2078/4837,1726/6154,0.10285366887331134
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,2441/4837,2129/6154,0.1026896296299562
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,34/4837,278/6154,0.09669503346841306
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,1420/4837,1097/6154,0.09483007220973369
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,227/4837,368/6154,0.07933116289613008
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,2973/4837,2115/6154,0.07259705647925406
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,1346/4837,715/6154,0.06450667395853278
android/provider/Settings$System:putInt(android/content/ContentResolver;java/lang/String;I)Z,352/4837,306/6154,0.05652603556909223
java/net/URL:getContent()java/lang/Object;,643/4837,389/6154,0.055353184203955505
android/net/wifi/WifiManager:getWifiState()I,1277/4837,569/6154,0.053446171254321745
java/net/HttpURLConnection:connect()V,3692/4837,2765/6154,0.05265666167925293
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,2786/4837,1334/6154,0.05190311737287155
android/widget/VideoView:setVideoURI(android/net/Uri;)V,160/4837,216/6154,0.05186773572522372
java/net/ServerSocket:bind(java/net/SocketAddress;)V,27/4837,137/6154,0.04980927424087331
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,3355/4837,1863/6154,0.048059628524021694
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,1045/4837,439/6154,0.04744141905334916
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,2738/4837,1111/6154,0.04458876913461532
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,2575/4837,979/6154,0.04353006075690063
android/media/MediaRecorder:setAudioSource(I)V,514/4837,267/6154,0.04220495371769898
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,2716/4837,937/6154,0.038138739467893874
android/telephony/TelephonyManager:getDeviceSoftwareVersion()java/lang/String;,46/4837,108/6154,0.035318109974146195
android/app/ActivityManager:getRunningTasks(I)java/util/ist;,1578/4837,434/6154,0.03428797164494474
android/app/ActivityManager:getRecentTasks(II)java/util/ist;,30/4837,95/6154,0.03385690077797324
android/net/wifi/WifiManager:getScanResults()java/util/ist;,2663/4837,750/6154,0.03156993827878515
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,2353/4837,609/6154,0.030951690605874712
android/telephony/TelephonyManager:getNeighboringCellInfo()java/util/ist;,2206/4837,540/6154,0.029902149379667224
