文件路径：/home/xuchen/FanMing/file/topicScore/Anzhi/49.txt
文件总数：2177
敏感函数个数:220
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,221/2177,3334/6154,0.5371594386747772
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,493/2177,2780/6154,0.2909791216650152
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,321/2177,1752/6154,0.2362958206806795
android/media/MediaPlayer:pause()V,305/2177,1566/6154,0.2168421426727656
android/os/PowerManager$WakeLock:acquire()V,611/2177,2385/6154,0.2135830697832055
java/net/URLConnection:connect()V,406/2177,1802/6154,0.21324858038807368
android/media/MediaPlayer:reset()V,323/2177,1486/6154,0.19977051355021783
android/widget/VideoView:stopPlayback()V,106/2177,866/6154,0.18413049204975562
android/widget/VideoView:start()V,139/2177,948/6154,0.183581477560609
android/widget/VideoView:pause()V,95/2177,814/6154,0.17930581370575924
android/media/MediaPlayer:stop()V,472/2177,1616/6154,0.17409873544005602
java/net/URLConnection:getInputStream()java/io/InputStream;,746/2177,2120/6154,0.16002928074723344
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,236/2177,976/6154,0.15274544053270175
android/os/PowerManager$WakeLock:release()V,903/2177,2388/6154,0.1481111011659028
android/media/MediaPlayer:release()V,619/2177,1646/6154,0.14589506878250166
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,1394/2177,4590/6154,0.14416226460358855
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,898/2177,2129/6154,0.13288043739493757
android/media/MediaPlayer:start()V,855/2177,1726/6154,0.11369742130194382
android/widget/VideoView:setVideoPath(java/lang/String;)V,98/2177,501/6154,0.1092710172987026
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,1077/2177,2115/6154,0.10490443585028307
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,624/2177,1097/6154,0.096612011314857
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,1097/2177,1863/6154,0.08998831551365624
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,77/2177,368/6154,0.08645451545288038
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,35/2177,278/6154,0.0804797770653426
android/net/wifi/WifiManager:getWifiState()I,410/2177,569/6154,0.06694271197219683
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,1157/2177,1334/6154,0.05942735230950099
android/provider/Settings$System:putInt(android/content/ContentResolver;java/lang/String;I)Z,140/2177,306/6154,0.05910361241696923
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,1439/2177,1972/6154,0.05751803504341985
android/widget/VideoView:setVideoURI(android/net/Uri;)V,53/2177,216/6154,0.05635040112952797
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,1065/2177,1111/6154,0.05598350020368069
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,359/2177,439/6154,0.05575285221192741
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,981/2177,979/6154,0.05500264145073246
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,742/2177,715/6154,0.054243057348971585
java/net/URL:getContent()java/lang/Object;,310/2177,389/6154,0.05341942436879198
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,1705/2177,2915/6154,0.05015249552176718
java/net/HttpURLConnection:connect()V,1700/2177,2765/6154,0.04814447987648238
android/net/wifi/WifiManager:isWifiEnabled()Z,1012/2177,881/6154,0.04756440601605412
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,1072/2177,937/6154,0.046782809315796106
android/media/MediaRecorder:setAudioSource(I)V,221/2177,267/6154,0.043017867464356783
java/net/ServerSocket:bind(java/net/SocketAddress;)V,33/2177,137/6154,0.040213518547910464
android/net/wifi/WifiManager:getScanResults()java/util/ist;,1029/2177,750/6154,0.0396109690042154
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,890/2177,609/6154,0.038394582633664236
android/telephony/TelephonyManager:getNeighboringCellInfo()java/util/ist;,801/2177,540/6154,0.038054824960796665
android/app/ActivityManager:getRunningTasks(I)java/util/ist;,661/2177,434/6154,0.03646054448927611
android/net/wifi/WifiManager:startScan()Z,805/2177,511/6154,0.03583172747442279
android/os/Vibrator:cancel()V,388/2177,284/6154,0.034515129520827074
