文件路径：/home/xuchen/FanMing/file/topicScore/Google/Communication.txt
文件总数：622
敏感函数个数:227
函数名,主题使用次数,恶意使用次数,威胁评分
android/net/ConnectivityManager:startUsingNetworkFeature(Ijava/lang/String;)I,12/622,67/6154,0.018288877343147027
android/accounts/AccountManager:getAccounts()[android/accounts/Account;,62/622,81/6154,0.013089118728341925
android/hardware/Camera:open()android/hardware/Camera;,69/622,84/6154,0.012949326771665779
android/accounts/AccountManager:getAccountsByType(java/lang/String;)[android/accounts/Account;,74/622,86/6154,0.012838918497192753
android/app/WallpaperManager:setBitmap(android/graphics/Bitmap;)V,1/622,27/6154,0.010936712789035522
android/app/KeyguardManager$KeyguardLock:disableKeyguard()V,44/622,56/6154,0.010378999150352064
android/net/wifi/WifiManager$WifiLock:release()V,65/622,65/6154,0.010290220863614193
android/bluetooth/BluetoothAdapter:isEnabled()Z,38/622,51/6154,0.009967340698875575
android/bluetooth/BluetoothAdapter:getScanMode()I,2/622,26/6154,0.009787682382068584
android/location/LocationManager:getProvider(java/lang/String;)android/location/ocationProvider;,21/622,40/6154,0.009433654233790136
android/net/wifi/WifiManager$WifiLock:acquire()V,65/622,59/6154,0.0093403543223575
android/media/RingtoneManager:setActualDefaultRingtoneUri(android/content/Context;Iandroid/net/Uri;)V,4/622,27/6154,0.00919079464894046
android/telephony/TelephonyManager:getVoiceMailNumber()java/lang/String;,17/622,33/6154,0.008250095876891114
android/bluetooth/BluetoothAdapter:isDiscovering()Z,6/622,26/6154,0.008233019330775205
android/bluetooth/BluetoothDevice:createRfcommSocketToServiceRecord(java/util/UUID;)android/bluetooth/BluetoothSocket;,8/622,25/6154,0.007472976418798724
android/bluetooth/BluetoothAdapter:cancelDiscovery()Z,10/622,26/6154,0.007403695188145505
android/bluetooth/BluetoothDevice:getBondState()I,9/622,25/6154,0.007287091260524938
android/bluetooth/BluetoothSocket:connect()V,9/622,25/6154,0.007287091260524938
android/bluetooth/BluetoothAdapter:startDiscovery()Z,10/622,25/6154,0.0071189376809091395
android/bluetooth/BluetoothAdapter:listenUsingRfcommWithServiceRecord(java/lang/String;java/util/UUID;)android/bluetooth/BluetoothServerSocket;,8/622,23/6154,0.006875138305294825
android/app/KeyguardManager$KeyguardLock:reenableKeyguard()V,45/622,37/6154,0.006800163220887561
android/bluetooth/BluetoothDevice:getName()java/lang/String;,17/622,27/6154,0.0067500784447290935
android/bluetooth/BluetoothAdapter:disable()Z,9/622,23/6154,0.006704123959682943
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,13/622,25/6154,0.006693460956339701
android/os/PowerManager$WakeLock:acquire(J)V,53/622,38/6154,0.006553960309551236
android/provider/ContactsContract$RawContacts:getContactLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,26/622,28/6154,0.006198886151266051
android/bluetooth/BluetoothAdapter:enable()Z,13/622,23/6154,0.006157984079832525
