文件路径：/home/xuchen/FanMing/file/topicScore/Google/Finance.txt
文件总数：492
敏感函数个数:122
函数名,主题使用次数,恶意使用次数,威胁评分
android/bluetooth/BluetoothAdapter:getBondedDevices()java/util/Set;,1/492,27/6154,0.010489965533277744
android/bluetooth/BluetoothDevice:getName()java/lang/String;,1/492,27/6154,0.010489965533277744
android/hardware/Camera:open()android/hardware/Camera;,87/492,84/6154,0.010202880105922019
android/bluetooth/BluetoothAdapter:isDiscovering()Z,1/492,26/6154,0.010101448291304495
android/bluetooth/BluetoothAdapter:getScanMode()I,1/492,26/6154,0.010101448291304495
android/bluetooth/BluetoothAdapter:cancelDiscovery()Z,1/492,26/6154,0.010101448291304495
android/app/WallpaperManager:setBitmap(android/graphics/Bitmap;)V,2/492,27/6154,0.009717384448698057
android/bluetooth/BluetoothAdapter:startDiscovery()Z,1/492,25/6154,0.009712931049331245
android/bluetooth/BluetoothDevice:createRfcommSocketToServiceRecord(java/util/UUID;)android/bluetooth/BluetoothSocket;,1/492,25/6154,0.009712931049331245
android/media/AudioManager:setMode(I)V,1/492,25/6154,0.009712931049331245
android/bluetooth/BluetoothDevice:getBondState()I,1/492,25/6154,0.009712931049331245
android/bluetooth/BluetoothSocket:connect()V,1/492,25/6154,0.009712931049331245
android/media/AudioManager:setSpeakerphoneOn(Z)V,2/492,26/6154,0.009357481320968501
android/bluetooth/BluetoothAdapter:listenUsingRfcommWithServiceRecord(java/lang/String;java/util/UUID;)android/bluetooth/BluetoothServerSocket;,1/492,23/6154,0.008935896565384745
android/location/LocationManager:getProvider(java/lang/String;)android/location/ocationProvider;,22/492,40/6154,0.008646326075721595
android/provider/ContactsContract$RawContacts:getContactLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,9/492,28/6154,0.007698248761372455
android/provider/ContactsContract$Contacts:getLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,9/492,27/6154,0.007423311305609153
android/net/wifi/WifiManager:getConfiguredNetworks()java/util/ist;,3/492,21/6154,0.007131622902214391
android/net/wifi/WifiManager:enableNetwork(IZ)Z,3/492,19/6154,0.006452420721051116
android/net/wifi/WifiManager:addNetwork(android/net/wifi/WifiConfiguration;)I,3/492,19/6154,0.006452420721051116
android/media/RingtoneManager:getRingtone(android/content/Context;android/net/Uri;)android/media/Ringtone;,30/492,32/6154,0.006242981651910759
android/net/wifi/WifiManager:removeNetwork(I)Z,3/492,18/6154,0.006112819630469477
android/net/wifi/WifiManager:saveConfiguration()Z,3/492,17/6154,0.005773218539887839
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,20/492,25/6154,0.00556445323380501
android/accounts/AccountManager:addAccount(java/lang/String;java/lang/String;[java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,1/492,13/6154,0.005050724145652248
android/provider/Contacts$People:createPersonInMyContactsGroup(android/content/ContentResolver;android/content/ContentValues;)android/net/Uri;,20/492,22/6154,0.004896718845748408
android/content/ContentResolver:getMasterSyncAutomatically()Z,1/492,12/6154,0.004662206903678997
android/accounts/AccountManager:invalidateAuthToken(java/lang/String;java/lang/String;)V,7/492,16/6154,0.004650959027040408
android/accounts/AccountManager:removeAccount(android/accounts/Account;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,2/492,12/6154,0.004318837532754692
android/bluetooth/BluetoothAdapter:getAddress()java/lang/String;,1/492,11/6154,0.004273689661705748
android/telephony/gsm/SmsManager:sendDataMessage(java/lang/String;java/lang/String;S[Bandroid/app/PendingIntent;android/app/PendingIntent;)V,1/492,11/6154,0.004273689661705748
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,8/492,15/6154,0.004235592931413801
android/net/wifi/WifiManager:getDhcpInfo()android/net/DhcpInfo;,3/492,11/6154,0.0037356119963980142
android/accounts/AccountManager:addAccountExplicitly(android/accounts/Account;java/lang/String;android/os/Bundle;)Z,3/492,10/6154,0.0033960109058163764
android/media/Ringtone:play()V,29/492,16/6154,0.003158515042047963
android/location/LocationManager:getProviders(android/location/Criteria;Z)java/util/ist;,2/492,8/6154,0.0028792250218364615
android/media/Ringtone:setStreamType(I)V,2/492,7/6154,0.0025193218941069037
android/media/Ringtone:stop()V,2/492,7/6154,0.0025193218941069037
android/app/NotificationManager:notify(java/lang/String;Iandroid/app/Notification;)V,4/492,5/6154,0.0016192680357745707
android/content/ContentResolver:getSyncAutomatically(android/accounts/Account;java/lang/String;)Z,1/492,2/6154,7.770344839464996E-4
android/nfc/NfcAdapter:disableForegroundDispatch(android/app/Activity;)V,1/492,2/6154,7.770344839464996E-4
android/content/ContentResolver:setSyncAutomatically(android/accounts/Account;java/lang/String;Z)V,3/492,2/6154,6.792021811632753E-4
android/accounts/AccountManager:getAccountsByTypeAndFeatures(java/lang/String;[java/lang/String;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,1/492,1/6154,3.885172419732498E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/protocol/HttpContext;)org/apache/http/HttpResponse;,2/492,1/6154,3.599031277295577E-4
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;Zandroid/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,2/492,1/6154,3.599031277295577E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,2/492,1/6154,3.599031277295577E-4
android/net/wifi/WifiManager:reassociate()Z,3/492,1/6154,3.3960109058163765E-4
android/net/wifi/WifiManager:disconnect()Z,3/492,1/6154,3.3960109058163765E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,3/492,1/6154,3.3960109058163765E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,4/492,1/6154,3.2385360715491416E-4
android/nfc/NfcAdapter:enableForegroundNdefPush(android/app/Activity;android/nfc/NdefMessage;)V,1/492,0/6154,0.0
android/content/ContentResolver:getPeriodicSyncs(android/accounts/Account;java/lang/String;)java/util/ist;,1/492,0/6154,0.0
android/location/LocationManager:addNmeaListener(android/location/GpsStatus$Nmeaistener;)Z,1/492,0/6154,0.0
android/content/ContentResolver:addPeriodicSync(android/accounts/Account;java/lang/String;android/os/Bundle;J)V,3/492,0/6154,0.0
java/net/ServerSocket:bind(java/net/SocketAddress;I)V,3/492,0/6154,0.0
android/inputmethodservice/KeyboardView:setKeyboard(android/inputmethodservice/Keyboard;)V,5/492,0/6154,0.0
android/inputmethodservice/KeyboardView:onLongPress(android/inputmethodservice/Keyboard$Key;)Z,1/492,0/6154,0.0
android/nfc/NfcAdapter:disableForegroundNdefPush(android/app/Activity;)V,1/492,0/6154,0.0
android/content/ContentResolver:removePeriodicSync(android/accounts/Account;java/lang/String;android/os/Bundle;)V,2/492,0/6154,0.0
