文件路径：/home/xuchen/FanMing/file/topicScore/Google/Medical.txt
文件总数：374
敏感函数个数:94
函数名,主题使用次数,恶意使用次数,威胁评分
android/provider/ContactsContract$RawContacts:getContactLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,1/374,28/6154,0.010336620894218714
android/provider/ContactsContract$Contacts:getLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,1/374,27/6154,0.00996745586228233
android/media/RingtoneManager:setActualDefaultRingtoneUri(android/content/Context;Iandroid/net/Uri;)V,1/374,27/6154,0.00996745586228233
android/app/WallpaperManager:setBitmap(android/graphics/Bitmap;)V,5/374,27/6154,0.007874138690129116
android/media/AudioManager:isWiredHeadsetOn()Z,1/374,20/6154,0.007383300638727653
android/location/LocationManager:getProvider(java/lang/String;)android/location/ocationProvider;,32/374,40/6154,0.006853153476259946
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,7/374,25/6154,0.006783318228828959
android/media/RingtoneManager:getRingtone(android/content/Context;android/net/Uri;)android/media/Ringtone;,21/374,32/6154,0.006398174436806105
android/provider/Contacts$People:createPersonInMyContactsGroup(android/content/ContentResolver;android/content/ContentValues;)android/net/Uri;,15/374,22/6154,0.0048931647107540175
android/accounts/AccountManager:invalidateAuthToken(java/lang/String;java/lang/String;)V,8/374,16/6154,0.004208330432918181
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,8/374,15/6154,0.003945309780860795
android/accounts/AccountManager:addAccount(java/lang/String;java/lang/String;[java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,8/374,13/6154,0.003419268476746022
android/media/Ringtone:play()V,19/374,16/6154,0.0033067055093571637
android/net/wifi/WifiManager:getDhcpInfo()android/net/DhcpInfo;,8/374,11/6154,0.0028932271726312495
android/hardware/Camera:open(I)android/hardware/Camera;,2/374,8/6154,0.0027244073415415245
android/media/Ringtone:setStreamType(I)V,1/374,7/6154,0.0025841552235546785
android/location/LocationManager:getProviders(android/location/Criteria;Z)java/util/ist;,3/374,8/6154,0.0025619910443581643
android/app/NotificationManager:notify(java/lang/String;Iandroid/app/Notification;)V,3/374,5/6154,0.0016012444027238525
android/media/AudioManager:isBluetoothA2dpOn()Z,1/374,4/6154,0.0014766601277455308
android/media/AsyncPlayer:play(android/content/Context;android/net/Uri;ZI)V,3/374,4/6154,0.0012809955221790821
android/media/AsyncPlayer:stop()V,2/374,2/6154,6.811018353853811E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,3/374,1/6154,3.2024888054477054E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/protocol/HttpContext;)org/apache/http/HttpResponse;,3/374,1/6154,3.2024888054477054E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;org/apache/http/protocol/HttpContext;)java/lang/Object;,3/374,1/6154,3.2024888054477054E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,10/374,1/6154,2.4885910254180294E-4
android/content/Context:sendStickyBroadcast(android/content/Intent;)V,1/374,0/6154,0.0
android/media/RingtoneManager:getRingtone(I)android/media/Ringtone;,1/374,0/6154,0.0
android/inputmethodservice/KeyboardView:setKeyboard(android/inputmethodservice/Keyboard;)V,2/374,0/6154,0.0
android/widget/VideoView:resume()V,1/374,0/6154,0.0
android/content/Context:removeStickyBroadcast(android/content/Intent;)V,1/374,0/6154,0.0
android/media/RingtoneManager:stopPreviousRingtone()V,1/374,0/6154,0.0
java/net/ServerSocket:bind(java/net/SocketAddress;I)V,1/374,0/6154,0.0
