文件路径：/home/xuchen/FanMing/file/topicScore/Google/Shopping.txt
文件总数：377
敏感函数个数:148
函数名,主题使用次数,恶意使用次数,威胁评分
android/accounts/AccountManager:getAccounts()[android/accounts/Account;,19/377,81/6154,0.01678586605750516
android/accounts/AccountManager:getAccountsByType(java/lang/String;)[android/accounts/Account;,25/377,86/6154,0.016229712088431564
android/net/wifi/WifiManager$WifiLock:acquire()V,8/377,59/6154,0.015551483848752296
android/location/LocationManager:setTestProviderEnabled(java/lang/String;Z)V,1/377,36/6154,0.013310238668102896
android/app/KeyguardManager$KeyguardLock:reenableKeyguard()V,2/377,37/6154,0.012621245292978036
android/os/PowerManager$WakeLock:acquire(J)V,4/377,38/6154,0.011592478248789636
android/telephony/TelephonyManager:getVoiceMailNumber()java/lang/String;,2/377,33/6154,0.011256786342385814
android/telephony/SmsManager:sendMultipartTextMessage(java/lang/String;java/lang/String;java/util/Arrayist;java/util/Arrayist;java/util/Arrayist;)V,2/377,31/6154,0.010574556867089704
android/app/ActivityManager:killBackgroundProcesses(java/lang/String;)V,1/377,28/6154,0.010352407852968919
android/bluetooth/BluetoothAdapter:getBondedDevices()java/util/Set;,1/377,27/6154,0.00998267900107717
android/bluetooth/BluetoothDevice:getName()java/lang/String;,1/377,27/6154,0.00998267900107717
android/bluetooth/BluetoothAdapter:isDiscovering()Z,1/377,26/6154,0.009612950149185426
android/bluetooth/BluetoothAdapter:getScanMode()I,1/377,26/6154,0.009612950149185426
android/bluetooth/BluetoothAdapter:cancelDiscovery()Z,1/377,26/6154,0.009612950149185426
android/bluetooth/BluetoothAdapter:startDiscovery()Z,1/377,25/6154,0.009243221297293679
android/bluetooth/BluetoothDevice:createRfcommSocketToServiceRecord(java/util/UUID;)android/bluetooth/BluetoothSocket;,1/377,25/6154,0.009243221297293679
android/bluetooth/BluetoothDevice:getBondState()I,1/377,25/6154,0.009243221297293679
android/bluetooth/BluetoothSocket:connect()V,1/377,25/6154,0.009243221297293679
android/media/AudioManager:setSpeakerphoneOn(Z)V,2/377,26/6154,0.00886898317884943
android/app/WallpaperManager:setBitmap(android/graphics/Bitmap;)V,3/377,27/6154,0.008661942913503643
android/bluetooth/BluetoothAdapter:disable()Z,1/377,23/6154,0.008503763593510183
android/bluetooth/BluetoothAdapter:listenUsingRfcommWithServiceRecord(java/lang/String;java/util/UUID;)android/bluetooth/BluetoothServerSocket;,1/377,23/6154,0.008503763593510183
android/bluetooth/BluetoothAdapter:enable()Z,1/377,23/6154,0.008503763593510183
android/media/AudioManager:setMode(I)V,3/377,25/6154,0.008020317512503374
android/provider/ContactsContract$RawContacts:getContactLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,6/377,28/6154,0.007876960137368055
android/provider/ContactsContract$Contacts:getLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,6/377,27/6154,0.0075956401324620525
android/media/RingtoneManager:getRingtone(android/content/Context;android/net/Uri;)android/media/Ringtone;,13/377,32/6154,0.007436923312460474
android/hardware/Camera:open()android/hardware/Camera;,114/377,84/6154,0.007038357950533511
android/location/LocationManager:getProvider(java/lang/String;)android/location/ocationProvider;,35/377,40/6154,0.006630086769181056
android/net/wifi/WifiManager:reconnect()Z,1/377,17/6154,0.006285390482159701
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,12/377,25/6154,0.005940843345380874
android/provider/Contacts$People:createPersonInMyContactsGroup(android/content/ContentResolver;android/content/ContentValues;)android/net/Uri;,11/377,22/6154,0.0053522135670262755
android/net/ConnectivityManager:requestRouteToHost(II)Z,2/377,14/6154,0.00477560632707277
android/net/wifi/WifiManager:getConfiguredNetworks()java/util/ist;,19/377,21/6154,0.00435189120009393
android/accounts/AccountManager:invalidateAuthToken(java/lang/String;java/lang/String;)V,8/377,16/6154,0.004217351552204012
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,7/377,15/6154,0.004078448236627842
android/bluetooth/BluetoothAdapter:getAddress()java/lang/String;,1/377,11/6154,0.004067017370809218
android/telephony/gsm/SmsManager:sendDataMessage(java/lang/String;java/lang/String;S[Bandroid/app/PendingIntent;android/app/PendingIntent;)V,1/377,11/6154,0.004067017370809218
android/net/wifi/WifiManager:enableNetwork(IZ)Z,21/377,19/6154,0.0038096286510055487
android/net/wifi/WifiManager:addNetwork(android/net/wifi/WifiConfiguration;)I,21/377,19/6154,0.0038096286510055487
android/net/wifi/WifiManager:removeNetwork(I)Z,18/377,18/6154,0.0037953492828328487
android/media/Ringtone:play()V,13/377,16/6154,0.003718461656230237
android/accounts/AccountManager:addAccount(java/lang/String;java/lang/String;[java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,6/377,13/6154,0.003657160063778026
android/net/wifi/WifiManager:getDhcpInfo()android/net/DhcpInfo;,3/377,11/6154,0.0035289397055014845
android/net/wifi/WifiManager:saveConfiguration()Z,21/377,17/6154,0.003408615108794438
android/telephony/gsm/SmsManager:sendMultipartTextMessage(java/lang/String;java/lang/String;java/util/Arrayist;java/util/Arrayist;java/util/Arrayist;)V,1/377,9/6154,0.003327559667025724
android/accounts/AccountManager:addAccountExplicitly(android/accounts/Account;java/lang/String;android/os/Bundle;)Z,3/377,10/6154,0.0032081270050013494
android/bluetooth/BluetoothAdapter:getState()I,1/377,8/6154,0.002957830815133977
android/accounts/AccountManager:getPassword(android/accounts/Account;)java/lang/String;,3/377,9/6154,0.002887314304501215
android/hardware/Camera:open(I)android/hardware/Camera;,2/377,8/6154,0.00272891790118444
android/media/Ringtone:setStreamType(I)V,2/377,7/6154,0.002387803163536385
android/location/LocationManager:getProviders(android/location/Criteria;Z)java/util/ist;,9/377,8/6154,0.0020491925254543944
android/location/LocationManager:sendExtraCommand(java/lang/String;java/lang/String;android/os/Bundle;)Z,5/377,7/6154,0.0020453901037950995
android/provider/Browser:clearHistory(android/content/ContentResolver;)V,1/377,5/6154,0.0018486442594587355
android/media/MediaPlayer:setWakeMode(android/content/Context;I)V,1/377,5/6154,0.0018486442594587355
android/app/NotificationManager:notify(java/lang/String;Iandroid/app/Notification;)V,7/377,5/6154,0.001359482745542614
android/location/LocationManager:clearTestProviderEnabled(java/lang/String;)V,6/377,4/6154,0.001125280019624008
android/location/LocationManager:clearTestProviderLocation(java/lang/String;)V,6/377,4/6154,0.001125280019624008
android/location/LocationManager:clearTestProviderStatus(java/lang/String;)V,6/377,4/6154,0.001125280019624008
android/provider/Settings$System:putString(android/content/ContentResolver;java/lang/String;java/lang/String;)Z,1/377,3/6154,0.0011091865556752414
android/location/LocationManager:setTestProviderStatus(java/lang/String;Iandroid/os/Bundle;J)V,1/377,3/6154,0.0011091865556752414
android/location/LocationManager:removeTestProvider(java/lang/String;)V,1/377,3/6154,0.0011091865556752414
android/location/LocationManager:setTestProviderLocation(java/lang/String;android/location/ocation;)V,1/377,3/6154,0.0011091865556752414
android/location/LocationManager:addProximityAlert(DDFJandroid/app/PendingIntent;)V,7/377,4/6154,0.0010875861964340912
android/location/LocationManager:addTestProvider(java/lang/String;ZZZZZZZII)V,7/377,4/6154,0.0010875861964340912
android/net/ConnectivityManager:getNetworkPreference()I,1/377,2/6154,7.394577037834943E-4
android/content/ContentResolver:setIsSyncable(android/accounts/Account;java/lang/String;I)V,1/377,2/6154,7.394577037834943E-4
android/content/ContentResolver:setSyncAutomatically(android/accounts/Account;java/lang/String;Z)V,1/377,2/6154,7.394577037834943E-4
android/nfc/NfcAdapter:enableForegroundDispatch(android/app/Activity;android/app/PendingIntent;[android/content/IntentFilter;[[java/lang/String;)V,2/377,2/6154,6.8222947529611E-4
android/nfc/NfcAdapter:disableForegroundDispatch(android/app/Activity;)V,2/377,2/6154,6.8222947529611E-4
android/accounts/AccountManager:blockingGetAuthToken(android/accounts/Account;java/lang/String;Z)java/lang/String;,5/377,2/6154,5.843971725128857E-4
android/telephony/SmsManager:sendDataMessage(java/lang/String;java/lang/String;S[Bandroid/app/PendingIntent;android/app/PendingIntent;)V,1/377,1/6154,3.6972885189174713E-4
android/media/AudioManager:setMicrophoneMute(Z)V,1/377,1/6154,3.6972885189174713E-4
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;org/apache/http/protocol/HttpContext;)org/apache/http/HttpResponse;,3/377,1/6154,3.2081270050013497E-4
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;Zandroid/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,3/377,1/6154,3.2081270050013497E-4
