文件路径：/home/xuchen/FanMing/file/topicScore/Google/Entertainment.txt
文件总数：798
敏感函数个数:143
函数名,主题使用次数,恶意使用次数,威胁评分
android/accounts/AccountManager:getAccountsByType(java/lang/String;)[android/accounts/Account;,55/798,86/6154,0.016124159625224163
android/os/PowerManager$WakeLock:acquire(J)V,3/798,38/6154,0.014201792362831518
android/telephony/TelephonyManager:getVoiceMailNumber()java/lang/String;,1/798,33/6154,0.013947368468908464
android/app/KeyguardManager$KeyguardLock:reenableKeyguard()V,4/798,37/6154,0.013245404098073496
android/hardware/Camera:open()android/hardware/Camera;,94/798,84/6154,0.012616096852323377
android/telephony/SmsManager:sendMultipartTextMessage(java/lang/String;java/lang/String;java/util/Arrayist;java/util/Arrayist;java/util/Arrayist;)V,2/798,31/6154,0.012215035868632285
android/bluetooth/BluetoothAdapter:getBondedDevices()java/util/Set;,1/798,27/6154,0.01141148329274329
android/bluetooth/BluetoothDevice:getName()java/lang/String;,1/798,27/6154,0.01141148329274329
android/bluetooth/BluetoothAdapter:isDiscovering()Z,1/798,26/6154,0.010988835763382429
android/bluetooth/BluetoothAdapter:getScanMode()I,1/798,26/6154,0.010988835763382429
android/bluetooth/BluetoothAdapter:cancelDiscovery()Z,1/798,26/6154,0.010988835763382429
android/bluetooth/BluetoothAdapter:startDiscovery()Z,1/798,25/6154,0.010566188234021565
android/bluetooth/BluetoothDevice:createRfcommSocketToServiceRecord(java/util/UUID;)android/bluetooth/BluetoothSocket;,1/798,25/6154,0.010566188234021565
android/bluetooth/BluetoothDevice:getBondState()I,1/798,25/6154,0.010566188234021565
android/bluetooth/BluetoothSocket:connect()V,1/798,25/6154,0.010566188234021565
android/app/ActivityManager:killBackgroundProcesses(java/lang/String;)V,4/798,28/6154,0.010023549047190753
android/media/AudioManager:setMode(I)V,2/798,25/6154,0.009850835377929261
android/bluetooth/BluetoothAdapter:listenUsingRfcommWithServiceRecord(java/lang/String;java/util/UUID;)android/bluetooth/BluetoothServerSocket;,1/798,23/6154,0.00972089317529984
android/media/AudioManager:setSpeakerphoneOn(Z)V,5/798,26/6154,0.008973048856864516
android/content/Context:setWallpaper(java/io/InputStream;)V,2/798,22/6154,0.008668735132577751
android/net/wifi/WifiManager:getConfiguredNetworks()java/util/ist;,2/798,21/6154,0.00827470171746058
android/net/wifi/WifiManager:enableNetwork(IZ)Z,1/798,19/6154,0.008030303057856389
android/net/wifi/WifiManager:addNetwork(android/net/wifi/WifiConfiguration;)I,1/798,19/6154,0.008030303057856389
android/location/LocationManager:getProvider(java/lang/String;)android/location/ocationProvider;,52/798,40/6154,0.007655034265517974
android/net/wifi/WifiManager:removeNetwork(I)Z,1/798,18/6154,0.0076076555284955265
android/net/wifi/WifiManager:saveConfiguration()Z,1/798,17/6154,0.007185007999134664
android/media/RingtoneManager:getRingtone(android/content/Context;android/net/Uri;)android/media/Ringtone;,36/798,32/6154,0.006935592680058418
android/content/Context:setWallpaper(android/graphics/Bitmap;)V,5/798,20/6154,0.006902345274511165
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,17/798,25/6154,0.0066896749522563515
android/provider/ContactsContract$RawContacts:getContactLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,29/798,28/6154,0.006483049370437094
android/provider/ContactsContract$Contacts:getLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,29/798,27/6154,0.006251511892921483
android/media/RingtoneManager:setActualDefaultRingtoneUri(android/content/Context;Iandroid/net/Uri;)V,29/798,27/6154,0.006251511892921483
android/app/WallpaperManager:setBitmap(android/graphics/Bitmap;)V,30/798,27/6154,0.006189033528265247
android/net/ConnectivityManager:stopUsingNetworkFeature(Ijava/lang/String;)I,4/798,17/6154,0.006085726207222957
android/net/wifi/WifiManager:reconnect()Z,8/798,17/6154,0.005380553541191726
android/provider/Contacts$People:createPersonInMyContactsGroup(android/content/ContentResolver;android/content/ContentValues;)android/net/Uri;,26/798,22/6154,0.005257403444624362
