文件路径：/home/xuchen/FanMing/file/topicScore/Google/Personalization.txt
文件总数：732
敏感函数个数:99
函数名,主题使用次数,恶意使用次数,威胁评分
android/content/Context:setWallpaper(java/io/InputStream;)V,1/732,22/6154,0.009164215774890646
android/provider/ContactsContract$RawContacts:getContactLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,8/732,28/6154,0.008691504713248923
android/provider/ContactsContract$Contacts:getLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,8/732,27/6154,0.00838109383063289
android/app/ActivityManager:killBackgroundProcesses(java/lang/String;)V,10/732,28/6154,0.008294981326812589
android/media/RingtoneManager:setActualDefaultRingtoneUri(android/content/Context;Iandroid/net/Uri;)V,9/732,27/6154,0.008180337859697202
android/bluetooth/BluetoothAdapter:disable()Z,5/732,23/6154,0.007797574927773677
android/bluetooth/BluetoothAdapter:enable()Z,5/732,23/6154,0.007797574927773677
android/provider/Contacts$People:createPersonInMyContactsGroup(android/content/ContentResolver;android/content/ContentValues;)android/net/Uri;,6/732,22/6154,0.007219221141204253
android/accounts/AccountManager:invalidateAuthToken(java/lang/String;java/lang/String;)V,1/732,16/6154,0.00666488419992047
android/app/WallpaperManager:setBitmap(android/graphics/Bitmap;)V,22/732,27/6154,0.006593296655200125
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,1/732,15/6154,0.00624832893742544
android/media/Ringtone:play()V,4/732,16/6154,0.0056302660428271
android/content/Context:setWallpaper(android/graphics/Bitmap;)V,22/732,20/6154,0.004883923448296389
android/content/ContentResolver:getMasterSyncAutomatically()Z,4/732,12/6154,0.004222699532120324
android/content/ContentResolver:setMasterSyncAutomatically(Z)V,3/732,10/6154,0.0036763911110341716
android/provider/Settings$System:getUriFor(java/lang/String;)android/net/Uri;,2/732,8/6154,0.003103529186010698
android/bluetooth/BluetoothAdapter:getState()I,5/732,8/6154,0.002712199974877801
android/media/Ringtone:stop()V,4/732,7/6154,0.0024632413937368557
android/provider/Browser:clearHistory(android/content/ContentResolver;)V,1/732,5/6154,0.0020827763124751466
android/media/MediaPlayer:setWakeMode(android/content/Context;I)V,1/732,5/6154,0.0020827763124751466
android/app/KeyguardManager:exitKeyguardSecurely(android/app/KeyguardManager$OnKeyguardExitResult;)V,1/732,5/6154,0.0020827763124751466
android/app/WallpaperManager:suggestDesiredDimensions(II)V,12/732,7/6154,0.0019912210109296205
