文件路径：/home/xuchen/FanMing/file/topicScore/Google/Tools.txt
文件总数：625
敏感函数个数:211
函数名,主题使用次数,恶意使用次数,威胁评分
android/net/wifi/WifiManager$WifiLock:acquire()V,12/625,59/6154,0.016125164646928352
android/accounts/AccountManager:getAccountsByType(java/lang/String;)[android/accounts/Account;,62/625,86/6154,0.013926290906496984
android/hardware/Camera:open()android/hardware/Camera;,63/625,84/6154,0.013509067865169937
android/app/KeyguardManager$KeyguardLock:disableKeyguard()V,25/625,56/6154,0.012565936542883068
android/os/PowerManager$WakeLock:acquire(J)V,5/625,38/6154,0.012459163656889243
android/bluetooth/BluetoothAdapter:isEnabled()Z,28/625,51/6154,0.011050955962252368
android/telephony/TelephonyManager:getVoiceMailNumber()java/lang/String;,8/625,33/6154,0.009875534247783029
android/media/RingtoneManager:setActualDefaultRingtoneUri(android/content/Context;Iandroid/net/Uri;)V,5/625,27/6154,0.00885256365094762
android/telephony/SmsManager:sendMultipartTextMessage(java/lang/String;java/lang/String;java/util/Arrayist;java/util/Arrayist;java/util/Arrayist;)V,13/625,31/6154,0.008310417847195476
android/location/LocationManager:getProvider(java/lang/String;)android/location/ocationProvider;,32/625,40/6154,0.0083026719367318
android/media/AudioManager:setSpeakerphoneOn(Z)V,6/625,26/6154,0.008241847808023284
android/app/KeyguardManager$KeyguardLock:reenableKeyguard()V,26/625,37/6154,0.008203948873553503
android/media/AudioManager:setMode(I)V,5/625,25/6154,0.008196818195321871
android/bluetooth/BluetoothAdapter:isDiscovering()Z,7/625,26/6154,0.007996837957288824
android/bluetooth/BluetoothDevice:createRfcommSocketToServiceRecord(java/util/UUID;)android/bluetooth/BluetoothSocket;,6/625,25/6154,0.007924853661560849
android/app/WallpaperManager:setBitmap(android/graphics/Bitmap;)V,9/625,27/6154,0.007879226595432243
android/bluetooth/BluetoothAdapter:listenUsingRfcommWithServiceRecord(java/lang/String;java/util/UUID;)android/bluetooth/BluetoothServerSocket;,4/625,23/6154,0.007837005248486397
android/bluetooth/BluetoothSocket:connect()V,7/625,25/6154,0.007689267266623869
android/content/Context:setWallpaper(java/io/InputStream;)V,4/625,22/6154,0.007496265889856555
android/bluetooth/BluetoothAdapter:getScanMode()I,10/625,26/6154,0.007412523665393583
android/bluetooth/BluetoothAdapter:getBondedDevices()java/util/Set;,12/625,27/6154,0.007379312635035007
android/bluetooth/BluetoothAdapter:startDiscovery()Z,9/625,25/6154,0.007295580180955782
android/bluetooth/BluetoothAdapter:cancelDiscovery()Z,11/625,26/6154,0.007252870986952829
android/provider/ContactsContract$RawContacts:getContactLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,15/625,28/6154,0.0072423270996535925
android/provider/ContactsContract$Contacts:getLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,15/625,27/6154,0.00698367256038025
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,11/625,25/6154,0.0069739144105315665
android/bluetooth/BluetoothDevice:getName()java/lang/String;,16/625,27/6154,0.006868157229619212
android/media/RingtoneManager:getRingtone(android/content/Context;android/net/Uri;)android/media/Ringtone;,29/625,32/6154,0.006857374131293665
android/media/AudioManager:isWiredHeadsetOn()Z,4/625,20/6154,0.0068147871725968675
android/bluetooth/BluetoothDevice:getBondState()I,13/625,25/6154,0.006701949876770545
android/content/Context:setWallpaper(android/graphics/Bitmap;)V,6/625,20/6154,0.006339882929248679
android/net/wifi/WifiManager:disableNetwork(I)Z,5/625,19/6154,0.006229581828444622
android/app/ActivityManager:killBackgroundProcesses(java/lang/String;)V,33/625,28/6154,0.005752881184343673
android/net/wifi/WifiManager:getConfiguredNetworks()java/util/ist;,12/625,21/6154,0.0057394653828050065
android/provider/Contacts$People:createPersonInMyContactsGroup(android/content/ContentResolver;android/content/ContentValues;)android/net/Uri;,16/625,22/6154,0.00559627626117121
android/net/wifi/WifiManager:enableNetwork(IZ)Z,10/625,19/6154,0.005416844217018387
android/net/wifi/WifiManager:addNetwork(android/net/wifi/WifiConfiguration;)I,10/625,19/6154,0.005416844217018387
android/net/wifi/WifiManager:reconnect()Z,6/625,17/6154,0.005388900489861377
android/net/ConnectivityManager:requestRouteToHost(II)Z,2/625,14/6154,0.005275044308862818
android/net/wifi/WifiManager:removeNetwork(I)Z,9/625,18/6154,0.005252817730288163
android/net/wifi/WifiManager:saveConfiguration()Z,7/625,17/6154,0.005228701741304231
android/bluetooth/BluetoothAdapter:enable()Z,32/625,23/6154,0.004774036363620786
android/bluetooth/BluetoothAdapter:disable()Z,34/625,23/6154,0.00467853028580718
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,12/625,15/6154,0.004099618130575004
