文件路径：/home/xuchen/FanMing/file/topicScore/Google/Social.txt
文件总数：630
敏感函数个数:188
函数名,主题使用次数,恶意使用次数,威胁评分
android/app/KeyguardManager$KeyguardLock:disableKeyguard()V,15/630,56/6154,0.01451614425425232
android/net/wifi/WifiManager$WifiLock:release()V,27/630,65/6154,0.014282070795781372
android/net/wifi/WifiManager$WifiLock:acquire()V,25/630,59/6154,0.013272288736997572
android/location/LocationManager:setTestProviderEnabled(java/lang/String;Z)V,3/630,36/6154,0.012853769920786852
android/accounts/AccountManager:getAccountsByType(java/lang/String;)[android/accounts/Account;,78/630,86/6154,0.012601130549566146
android/telephony/TelephonyManager:getVoiceMailNumber()java/lang/String;,3/630,33/6154,0.011782622427387947
android/bluetooth/BluetoothDevice:getName()java/lang/String;,1/630,27/6154,0.010961063528163667
android/bluetooth/BluetoothAdapter:isDiscovering()Z,1/630,26/6154,0.010555098212305755
android/bluetooth/BluetoothAdapter:getScanMode()I,1/630,26/6154,0.010555098212305755
android/bluetooth/BluetoothAdapter:cancelDiscovery()Z,1/630,26/6154,0.010555098212305755
android/bluetooth/BluetoothAdapter:startDiscovery()Z,1/630,25/6154,0.010149132896447841
android/telephony/SmsManager:sendMultipartTextMessage(java/lang/String;java/lang/String;java/util/Arrayist;java/util/Arrayist;java/util/Arrayist;)V,7/630,31/6154,0.009552123405315369
android/app/KeyguardManager$KeyguardLock:reenableKeyguard()V,16/630,37/6154,0.009432725095675396
android/hardware/Camera:open()android/hardware/Camera;,135/630,84/6154,0.009087965201657881
android/bluetooth/BluetoothAdapter:getBondedDevices()java/util/Set;,5/630,27/6154,0.008867746356010453
android/media/RingtoneManager:setActualDefaultRingtoneUri(android/content/Context;Iandroid/net/Uri;)V,5/630,27/6154,0.008867746356010453
android/os/PowerManager$WakeLock:acquire(J)V,27/630,38/6154,0.008349518311379879
android/media/AudioManager:isWiredHeadsetOn()Z,1/630,20/6154,0.008119306317158272
android/net/wifi/WifiManager:getConfiguredNetworks()java/util/ist;,2/630,21/6154,0.007924375233898651
android/content/Context:setWallpaper(java/io/InputStream;)V,3/630,22/6154,0.007855081618258632
android/net/wifi/WifiManager:addNetwork(android/net/wifi/WifiConfiguration;)I,1/630,19/6154,0.007713341001300359
android/location/LocationManager:getProvider(java/lang/String;)android/location/ocationProvider;,44/630,40/6154,0.0074496459907587775
android/net/wifi/WifiManager:removeNetwork(I)Z,1/630,18/6154,0.0073073756854424455
android/net/wifi/WifiManager:enableNetwork(IZ)Z,2/630,19/6154,0.007169672830670209
android/net/wifi/WifiManager:reconnect()Z,1/630,17/6154,0.0069014103695845316
android/net/wifi/WifiManager:saveConfiguration()Z,1/630,17/6154,0.0069014103695845316
android/provider/ContactsContract$RawContacts:getContactLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,19/630,28/6154,0.006817142591177902
android/app/WallpaperManager:setBitmap(android/graphics/Bitmap;)V,18/630,27/6154,0.0066714084513357684
android/provider/ContactsContract$Contacts:getLookupUri(android/content/ContentResolver;android/net/Uri;)android/net/Uri;,18/630,27/6154,0.0066714084513357684
android/net/ConnectivityManager:stopUsingNetworkFeature(Ijava/lang/String;)I,2/630,17/6154,0.006414970427441765
android/media/AudioManager:setMode(I)V,16/630,25/6154,0.006373462902483376
android/content/Context:setWallpaper(android/graphics/Bitmap;)V,6/630,20/6154,0.00635112937744337
android/media/AudioManager:setSpeakerphoneOn(Z)V,19/630,26/6154,0.006330203834665196
android/media/RingtoneManager:getRingtone(android/content/Context;android/net/Uri;)android/media/Ringtone;,46/630,32/6154,0.005861515458006444
android/provider/Contacts$People:createPersonInMyContactsGroup(android/content/ContentResolver;android/content/ContentValues;)android/net/Uri;,14/630,22/6154,0.005802971138894023
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;org/apache/http/client/ResponseHandler;)java/lang/Object;,25/630,25/6154,0.005623851159744734
android/net/ConnectivityManager:requestRouteToHost(II)Z,3/630,14/6154,0.00499868830252822
android/accounts/AccountManager:getAuthToken(android/accounts/Account;java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,12/630,15/6154,0.004108052966721023
android/bluetooth/BluetoothAdapter:getAddress()java/lang/String;,3/630,11/6154,0.003927540809129316
android/accounts/AccountManager:addAccount(java/lang/String;java/lang/String;[java/lang/String;android/os/Bundle;android/app/Activity;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,8/630,13/6154,0.0038976721677259248
android/telephony/gsm/SmsManager:sendMultipartTextMessage(java/lang/String;java/lang/String;java/util/Arrayist;java/util/Arrayist;java/util/Arrayist;)V,1/630,9/6154,0.0036536878427212227
android/content/ContentResolver:getMasterSyncAutomatically()Z,8/630,12/6154,0.0035978512317470074
android/accounts/AccountManager:invalidateAuthToken(java/lang/String;java/lang/String;)V,26/630,16/6154,0.003556650725497808
android/net/wifi/WifiManager:getDhcpInfo()android/net/DhcpInfo;,7/630,11/6154,0.003389463143821583
android/media/Ringtone:play()V,33/630,16/6154,0.003296357835323566
android/provider/Settings$System:getUriFor(java/lang/String;)android/net/Uri;,1/630,8/6154,0.0032477225268633093
android/location/LocationManager:getProviders(android/location/Criteria;Z)java/util/ist;,1/630,8/6154,0.0032477225268633093
android/accounts/AccountManager:removeAccount(android/accounts/Account;android/accounts/AccountManagerCallback;android/os/Handler;)android/accounts/AccountManagerFuture;,25/630,12/6154,0.0026994485566774725
android/accounts/AccountManager:getPassword(android/accounts/Account;)java/lang/String;,12/630,9/6154,0.002464831780032614
android/accounts/AccountManager:getUserData(android/accounts/Account;java/lang/String;)java/lang/String;,12/630,9/6154,0.002464831780032614
